Feature,Type,Has_Missing,Unique_Values
Name,object,False,1294
GP,int64,False,70
MIN,float64,False,325
PTS,float64,False,191
FGM,float64,False,87
FGA,float64,False,159
FG%,float64,False,284
3P Made,float64,False,23
3PA,float64,False,54
3P%,float64,True,255
FTM,float64,False,59
FTA,float64,False,76
FT%,float64,False,383
OREB,float64,False,44
DREB,float64,False,74
REB,float64,False,101
AST,float64,False,77
STL,float64,False,26
BLK,float64,False,28
TOV,float64,False,41
TARGET_5Yrs,float64,False,2
MIN_TOT,float64,False,1175
PTS_RATE,float64,False,1162
FGM_RATE,float64,False,1062
FGA_RATE,float64,False,1146
3P Made_RATE,float64,False,556
3PA_RATE,float64,False,823
FTM_RATE,float64,False,1008
FTA_RATE,float64,False,1071
OREB_RATE,float64,False,1035
DREB_RATE,float64,False,1081
REB_RATE,float64,False,1138
AST_RATE,float64,False,1083
STL_RATE,float64,False,863
BLK_RATE,float64,False,827
TOV_RATE,float64,False,967
MIN_CAT_MIN<10,bool,False,2
MIN_CAT_MIN<20,bool,False,2
MIN_CAT_MIN<30,bool,False,2
MIN_CAT_MIN>30,bool,False,2
GP_CAT_GP<28,bool,False,2
GP_CAT_GP<56,bool,False,2
GP_CAT_GPâ‰¥56,bool,False,2
